998,2995,4990,9928
the	ð ə
exclude	ɪ k s k ɫ u d
throne	θ ɹ oʊ n
dive	d aɪ v
chip	tʃ ɪ p
halt	h ɔ ɫ t
concentrate	k ɑ n s ə n t ɹ eɪ t
horizontal	h ɔ ɹ ə z ɑ n t ə ɫ
strive	s t ɹ aɪ v
fleet	f ɫ i t
mild	m aɪ ɫ d
nest	n ɛ s t
birthday	b ɝ θ d eɪ
purple	p ɝ p ə ɫ
quantum	k w ɑ n t ə m
rid	ɹ ɪ d
automatically	ɔ t ə m æ t ɪ k ɫ i
mighty	m aɪ t i
derive	d ɝ aɪ v
scarcely	s k ɛ ɹ s ɫ i
bark	b ɑ ɹ k
faithful	f eɪ θ f ə ɫ
sketch	s k ɛ tʃ
patent	p æ t ə n t
thickness	θ ɪ k n ə s
hybrid	h aɪ b ɹ ə d
miracle	m ɪ ɹ ə k ə ɫ
qualitative	k w ɑ ɫ ə t eɪ t ɪ v
cotton	k ɑ t ə n
remedy	ɹ ɛ m ə d i
finite	f aɪ n aɪ t
tense	t ɛ n s
bore	b ɔ ɹ
resort	ɹ ɪ z ɔ ɹ t
anchor	æ ŋ k ɝ
observer	ə b z ɝ v ɝ
flexible	f ɫ ɛ k s ə b ə ɫ
exploration	ɛ k s p ɫ ɝ eɪ ʃ ə n
pole	p oʊ ɫ
spine	s p aɪ n
sip	s ɪ p
quantitative	k w ɑ n t ɪ t eɪ t ɪ v
doorway	d ɔ ɹ w eɪ
seemingly	s i m ɪ ŋ ɫ i
nowhere	n oʊ w ɛ ɹ
shortly	ʃ ɔ ɹ t ɫ i
celebrate	s ɛ ɫ ə b ɹ eɪ t
informal	ɪ n f ɔ ɹ m ə ɫ
beneficial	b ɛ n ə f ɪ ʃ ə ɫ
magnitude	m æ ɡ n ə t u d
trunk	t ɹ ʌ ŋ k
citizen	s ɪ t ə z ə n
disadvantage	d ɪ s ə d v æ n t ɪ dʒ
actively	æ k t ɪ v ɫ i
deviation	d i v i eɪ ʃ ə n
writing	ɹ aɪ t ɪ ŋ
football	f ʊ t b ɔ ɫ
bubble	b ʌ b ə ɫ
actor	æ k t ɝ
brick	b ɹ ɪ k
expose	ɪ k s p oʊ z
therapist	θ ɛ ɹ ə p ə s t
analytical	æ n ə ɫ ɪ t ɪ k ə ɫ
warmth	w ɔ ɹ m θ
invisible	ɪ n v ɪ z ə b ə ɫ
belly	b ɛ ɫ i
corruption	k ɝ ʌ p ʃ ə n
substrate	s ʌ b s t ɹ eɪ t
toy	t ɔɪ
elderly	ɛ ɫ d ɝ ɫ i
mysterious	m ɪ s t ɪ ɹ i ə s
portrait	p ɔ ɹ t ɹ ə t
penalty	p ɛ n ə ɫ t i
economics	ɛ k ə n ɑ m ɪ k s
adverse	æ d v ɝ s
intelligent	ɪ n t ɛ ɫ ə dʒ ə n t
silk	s ɪ ɫ k
strand	s t ɹ æ n d
consensus	k ə n s ɛ n s ə s
dependence	d ɪ p ɛ n d ə n s
conscience	k ɑ n ʃ ə n s
adapt	ə d æ p t
invitation	ɪ n v ɪ t eɪ ʃ ə n
statue	s t æ tʃ u
probe	p ɹ oʊ b
emergence	ɪ m ɝ dʒ ə n s
accomplish	ə k ɑ m p ɫ ɪ ʃ
civilian	s ə v ɪ ɫ j ə n
warrant	w ɔ ɹ ə n t
pig	p ɪ ɡ
fulfill	f ʊ ɫ f ɪ ɫ
subtle	s ʌ t ə ɫ
twist	t w ɪ s t
shiver	ʃ ɪ v ɝ
ton	t ʌ n
hunt	h ʌ n t
sampling	s æ m p ɫ ɪ ŋ
symbolic	s ɪ m b ɑ ɫ ɪ k
controlling	k ə n t ɹ oʊ ɫ ɪ ŋ
commodity	k ə m ɑ d ə t i
wealthy	w ɛ ɫ θ i
sustainability	s ə s t eɪ n ə b ɪ ɫ ɪ t i
genius	dʒ i n j ə s
verify	v ɛ ɹ ə f aɪ
specify	s p ɛ s ə f aɪ
deficiency	d ɪ f ɪ ʃ ə n s i
efficacy	ɛ f ɪ k æ s i
inherent	ɪ n h ɪ ɹ ə n t
maid	m eɪ d
romantic	ɹ oʊ m æ n t ɪ k
protective	p ɹ ə t ɛ k t ɪ v
reception	ɹ ɪ s ɛ p ʃ ə n
invasion	ɪ n v eɪ ʒ ə n
passive	p æ s ɪ v
civilization	s ɪ v ə ɫ ɪ z eɪ ʃ ə n
operational	ɑ p ɝ eɪ ʃ ə n ə ɫ
extraction	ɛ k s t ɹ æ k ʃ ə n
copper	k ɑ p ɝ
oxide	ɑ k s aɪ d
corridor	k ɔ ɹ ə d ɝ
cheer	tʃ ɪ ɹ
awful	ɑ f ə ɫ
undermine	ʌ n d ɝ m aɪ n
metric	m ɛ t ɹ ɪ k
generous	dʒ ɛ n ɝ ə s
repeatedly	ɹ ɪ p i t ɪ d ɫ i
diagnostic	d aɪ ə ɡ n ɑ s t ɪ k
bold	b oʊ ɫ d
excessive	ɪ k s ɛ s ɪ v
tourism	t ʊ ɹ ɪ z ə m
fatigue	f ə t i ɡ
rifle	ɹ aɪ f ə ɫ
absorption	ə b z ɔ ɹ p ʃ ə n
scholarship	s k ɑ ɫ ɝ ʃ ɪ p
correctly	k ɝ ɛ k t ɫ i
entertain	ɛ n t ɝ t eɪ n
injection	ɪ n dʒ ɛ k ʃ ə n
photograph	f oʊ t ə ɡ ɹ æ f
cruel	k ɹ u ə ɫ
terminal	t ɝ m ə n ə ɫ
imply	ɪ m p ɫ aɪ
cord	k ɔ ɹ d
estimation	ɛ s t ə m eɪ ʃ ə n
candle	k æ n d ə ɫ
sofa	s oʊ f ə
optical	ɑ p t ɪ k ə ɫ
ambition	æ m b ɪ ʃ ə n
accessible	æ k s ɛ s ə b ə ɫ
purely	p j ʊ ɹ ɫ i
dull	d ʌ ɫ
complain	k ə m p ɫ eɪ n
competence	k ɑ m p ə t ɪ n s
deficit	d ɛ f ə s ə t
exclusive	ɪ k s k ɫ u s ɪ v
illegal	ɪ ɫ i ɡ ə ɫ
salvation	s æ ɫ v eɪ ʃ ə n
robe	ɹ oʊ b
semi	s ɛ m i
loyalty	ɫ ɔɪ ə ɫ t i
whilst	w aɪ ɫ s t
translate	t ɹ æ n z ɫ eɪ t
peculiar	p ə k j u ɫ j ɝ
solely	s oʊ ə ɫ i
replacement	ɹ ɪ p ɫ eɪ s m ə n t
dense	d ɛ n s
validity	v ə ɫ ɪ d ə t i
similarly	s ɪ m ə ɫ ɝ ɫ i
bush	b ʊ ʃ
hydrogen	h aɪ d ɹ ə dʒ ə n
workshop	w ɝ k ʃ ɑ p
pollution	p ə ɫ u ʃ ə n
submit	s ə b m ɪ t
comply	k ə m p ɫ aɪ
realised	ɹ i ə ɫ aɪ z d
uncertain	ə n s ɝ t ə n
clue	k ɫ u
cough	k ɑ f
funeral	f j u n ɝ ə ɫ
artistic	ɑ ɹ t ɪ s t ɪ k
inevitable	ɪ n ɛ v ə t ə b ə ɫ
bunch	b ʌ n tʃ
donor	d oʊ n ɝ
intermediate	ɪ n t ɝ m i d i ɪ t
signature	s ɪ ɡ n ə tʃ ɝ
feminist	f ɛ m ə n ɪ s t
isolation	aɪ s ə ɫ eɪ ʃ ə n
rival	ɹ aɪ v ə ɫ
static	s t æ t ɪ k
tolerance	t ɑ ɫ ɝ ə n s
purse	p ɝ s
clarify	k ɫ ɛ ɹ ə f aɪ
tract	t ɹ æ k t
anybody	ɛ n i b ə d i
honey	h ʌ n i
fierce	f ɪ ɹ s
chocolate	tʃ ɔ k ɫ ə t
furniture	f ɝ n ɪ tʃ ɝ
scar	s k ɑ ɹ
swallow	s w ɑ ɫ oʊ
revelation	ɹ ɛ v ə ɫ eɪ ʃ ə n
projection	p ɹ ə dʒ ɛ k ʃ ə n
peaceful	p i s f ə ɫ
subjective	s ə b dʒ ɛ k t ɪ v
bay	b eɪ
verbal	v ɝ b ə ɫ
humble	h ʌ m b ə ɫ
utilize	j u t ə ɫ aɪ z
optimization	ɑ p t ə m ə z eɪ ʃ ə n
flour	f ɫ aʊ ɝ
studio	s t u d i oʊ
disgust	d ɪ s ɡ ʌ s t
pussy	p ʊ s i
width	w ɪ d θ
pet	p ɛ t
manual	m æ n j u ə ɫ
penetrate	p ɛ n ə t ɹ eɪ t
dirt	d ɝ t
drill	d ɹ ɪ ɫ
designer	d ɪ z aɪ n ɝ
enthusiasm	ɪ n θ u z i æ z ə m
upstairs	ə p s t ɛ ɹ z
vulnerability	v ʌ ɫ n ɝ ə b ɪ ɫ ɪ t i
likelihood	ɫ aɪ k ɫ i h ʊ d
arrange	ɝ eɪ n dʒ
posterior	p ɔ s t ɪ ɹ j ɝ
safely	s eɪ f ɫ i
campus	k æ m p ə s
diabetes	d aɪ ə b i t i z
marine	m ɝ i n
steer	s t ɪ ɹ
conservation	k ɑ n s ɝ v eɪ ʃ ə n
insult	ɪ n s ʌ ɫ t
menu	m ɛ n j u
spy	s p aɪ
assure	ə ʃ ʊ ɹ
supplement	s ʌ p ɫ ə m ə n t
query	k w i ɹ i
minimal	m ɪ n ə m ə ɫ
salary	s æ ɫ ɝ i
inferior	ɪ n f ɪ ɹ i ɝ
mathematics	m æ θ ə m æ t ɪ k s
weird	w ɪ ɹ d
kindness	k aɪ n d n ə s
meaning	m i n ɪ ŋ
attraction	ə t ɹ æ k ʃ ə n
prize	p ɹ aɪ z
basket	b æ s k ə t
quit	k w ɪ t
prejudice	p ɹ ɛ dʒ ə d ɪ s
sleeve	s ɫ i v
harsh	h ɑ ɹ ʃ
glimpse	ɡ ɫ ɪ m p s
lifestyle	ɫ aɪ f s t aɪ ɫ
alike	ə ɫ aɪ k
valve	v æ ɫ v
indirect	ɪ n d ɝ ɛ k t
literacy	ɫ ɪ t ɝ ə s i
corn	k ɔ ɹ n
screw	s k ɹ u
displacement	d ɪ s p ɫ eɪ s m ə n t
boil	b ɔɪ ɫ
cable	k eɪ b ə ɫ
swing	s w ɪ ŋ
bulk	b ʌ ɫ k
spark	s p ɑ ɹ k
useless	j u s ɫ ə s
justification	dʒ ʌ s t ə f ə k eɪ ʃ ə n
ecological	i k ə ɫ ɑ dʒ ɪ k ə ɫ
handling	h æ n d ɫ ɪ ŋ
copyright	k ɑ p i ɹ aɪ t
keen	k i n
ash	æ ʃ
dollar	d ɑ ɫ ɝ
recipe	ɹ ɛ s ə p i
ideological	aɪ d i ə ɫ ɑ dʒ ɪ k ə ɫ
buyer	b aɪ ɝ
systemic	s ɪ s t ɛ m ɪ k
beloved	b ɪ ɫ ʌ v d
fake	f eɪ k
airport	ɛ ɹ p ɔ ɹ t
reporter	ɹ ɪ p ɔ ɹ t ɝ
breed	b ɹ i d
demonstration	d ɛ m ə n s t ɹ eɪ ʃ ə n
exclusively	ɪ k s k ɫ u s ɪ v ɫ i
hip	h ɪ p
admission	æ d m ɪ ʃ ə n
fantasy	f æ n t ə s i
accommodate	ə k ɑ m ə d eɪ t
capitalism	k æ p ɪ t ə ɫ ɪ z ə m
blast	b ɫ æ s t
developmental	d ɪ v ɛ ɫ ə p m ɛ n t ə ɫ
forest	f ɔ ɹ ə s t
gang	ɡ æ ŋ
variance	v ɛ ɹ i ə n s
prisoner	p ɹ ɪ z ə n ɝ
lease	ɫ i s
vain	v eɪ n
degradation	d ɛ ɡ ɹ ə d eɪ ʃ ə n
inspiration	ɪ n s p ɝ eɪ ʃ ə n
ugly	ʌ ɡ ɫ i
silently	s aɪ ɫ ə n t ɫ i
abandon	ə b æ n d ə n
exam	ɪ ɡ z æ m
inspection	ɪ n s p ɛ k ʃ ə n
inventory	ɪ n v ə n t ɔ ɹ i
endless	ɛ n d ɫ ə s
rail	ɹ eɪ ɫ
patience	p eɪ ʃ ə n s
legislative	ɫ ɛ dʒ ə s ɫ eɪ t ɪ v
reinforce	ɹ i ɪ n f ɔ ɹ s
lightning	ɫ aɪ t n ɪ ŋ
gross	ɡ ɹ oʊ s
rebel	ɹ ɛ b ə ɫ
bolt	b oʊ ɫ t
inter	ɪ n t ɝ
teaspoon	t i s p u n
alien	eɪ ɫ i ə n
concert	k ɑ n s ɝ t
immigration	ɪ m ə ɡ ɹ eɪ ʃ ə n
circular	s ɝ k j ə ɫ ɝ
incidence	ɪ n s ə d ə n s
strictly	s t ɹ ɪ k t ɫ i
loudly	ɫ aʊ d ɫ i
singular	s ɪ ŋ ɡ j ə ɫ ɝ
sovereign	s ɑ v ɹ ə n
reside	ɹ ɪ z aɪ d
surge	s ɝ dʒ
hallway	h ɔ ɫ w eɪ
virtually	v ɝ tʃ u ə ɫ i
influential	ɪ n f ɫ u ɛ n ʃ ə ɫ
lonely	ɫ oʊ n ɫ i
aggressive	ə ɡ ɹ ɛ s ɪ v
trajectory	t ɹ ə dʒ ɛ k t ɝ i
considerably	k ə n s ɪ d ɝ ə b ɫ i
forecast	f ɔ ɹ k æ s t
nucleus	n u k ɫ i ə s
killer	k ɪ ɫ ɝ
spit	s p ɪ t
frustration	f ɹ ə s t ɹ eɪ ʃ ə n
anterior	æ n t ɪ ɹ i ɝ
horn	h ɔ ɹ n
ban	b æ n
dwell	d w ɛ ɫ
void	v ɔɪ d
collar	k ɑ ɫ ɝ
adjacent	ə dʒ eɪ s ə n t
portfolio	p ɔ ɹ t f oʊ ɫ i oʊ
spray	s p ɹ eɪ
gratitude	ɡ ɹ æ t ə t u d
tragedy	t ɹ æ dʒ ə d i
accumulation	ə k j u m j ə ɫ eɪ ʃ ə n
capitalist	k æ p ə t ə ɫ ɪ s t
relevance	ɹ ɛ ɫ ə v ə n s
fry	f ɹ aɪ
diffusion	d ɪ f j u ʒ ə n
inhibit	ɪ n h ɪ b ə t
steep	s t i p
rejection	ɹ ɪ dʒ ɛ k ʃ ə n
workplace	w ɝ k p ɫ eɪ s
inspire	ɪ n s p aɪ ɹ
wholly	h oʊ ɫ i
medieval	m ɪ d i v ə ɫ
legacy	ɫ ɛ ɡ ə s i
damp	d æ m p
hazard	h æ z ɝ d
beard	b ɪ ɹ d
breeze	b ɹ i z
glucose	ɡ ɫ u k oʊ s
triumph	t ɹ aɪ ə m f
interference	ɪ n t ɝ f ɪ ɹ ə n s
swim	s w ɪ m
creativity	k ɹ i eɪ t ɪ v ə t i
gravity	ɡ ɹ æ v ə t i
diamond	d aɪ m ə n d
desirable	d ɪ z aɪ ɹ ə b ə ɫ
founder	f aʊ n d ɝ
blush	b ɫ ʌ ʃ
onset	ɑ n s ɛ t
innovative	ɪ n ə v eɪ t ɪ v
circulation	s ɝ k j ə ɫ eɪ ʃ ə n
railway	ɹ eɪ ɫ w eɪ
correspondence	k ɔ ɹ ə s p ɑ n d ə n s
jail	dʒ eɪ ɫ
broadcast	b ɹ ɔ d k æ s t
olive	ɑ ɫ ə v
sauce	s ɔ s
prompt	p ɹ ɑ m p t
flexibility	f ɫ ɛ k s ə b ɪ ɫ ə t i
dread	d ɹ ɛ d
squeeze	s k w i z
subordinate	s ə b ɔ ɹ d ə n eɪ t
evidently	ɛ v ə d ə n t ɫ i
mud	m ʌ d
modify	m ɑ d ə f aɪ
gonna	ɡ ɑ n ə
reliability	ɹ i ɫ aɪ ə b ɪ ɫ ə t i
electrode	ɪ ɫ ɛ k t ɹ oʊ d
disposition	d ɪ s p ə z ɪ ʃ ə n
dim	d ɪ m
goodness	ɡ ʊ d n ə s
oven	ʌ v ə n
recognised	ɹ ɛ k ə ɡ n aɪ z d
cardiac	k ɑ ɹ d i æ k
tide	t aɪ d
cabinet	k æ b ə n ə t
festival	f ɛ s t ə v ə ɫ
deliberately	d ɪ ɫ ɪ b ɝ ə t ɫ i
harmony	h ɑ ɹ m ə n i
lodge	ɫ ɑ dʒ
pillow	p ɪ ɫ oʊ
ha	h ɑ
continent	k ɑ n t ə n ə n t
satellite	s æ t ə ɫ aɪ t
altar	ɔ ɫ t ɝ
theological	θ i ə ɫ ɑ dʒ ɪ k ə ɫ
illusion	ɪ ɫ u ʒ ə n
obscure	ə b s k j ʊ ɹ
theater	θ i ə t ɝ
backward	b æ k w ɝ d
disclose	d ɪ s k ɫ oʊ z
expectation	ɛ k s p ɛ k t eɪ ʃ ə n
kidney	k ɪ d n i
widow	w ɪ d oʊ
mandate	m æ n d eɪ t
bishop	b ɪ ʃ ə p
disclosure	d ɪ s k ɫ oʊ ʒ ɝ
inflammatory	ɪ n f ɫ æ m ə t ɔ ɹ i
borrow	b ɑ ɹ oʊ
respiratory	ɹ ɛ s p ɝ ə t ɔ ɹ i
publicly	p ʌ b ɫ ɪ k ɫ i
bundle	b ʌ n d ə ɫ
hollow	h ɑ ɫ oʊ
citizenship	s ɪ t ɪ z ə n ʃ ɪ p
fee	f i
wheat	w i t
intervene	ɪ n t ɝ v i n
invention	ɪ n v ɛ n ʃ ə n
exclusion	ɪ k s k ɫ u ʒ ə n
distinctive	d ɪ s t ɪ ŋ k t ɪ v
decay	d ɪ k eɪ
dish	d ɪ ʃ
monk	m ʌ ŋ k
shrink	ʃ ɹ ɪ ŋ k
caution	k ɑ ʃ ə n
mill	m ɪ ɫ
morality	m ɝ æ ɫ ə t i
lion	ɫ aɪ ə n
dual	d u ə ɫ
horrible	h ɔ ɹ ə b ə ɫ
detective	d ɪ t ɛ k t ɪ v
declaration	d ɛ k ɫ ɝ eɪ ʃ ə n
knight	n aɪ t
exile	ɛ ɡ z aɪ ɫ
worldwide	w ɝ ɫ d w aɪ d
entertainment	ɛ n t ɝ t eɪ n m ə n t
recipient	ɹ ə s ɪ p i ə n t
sovereignty	s ɑ v ɹ ə n t i
duck	d ʌ k
sensory	s ɛ n s ɝ i
normative	n ɔ ɹ m ə t ɪ v
comparable	k ɑ m p ɝ ə b ə ɫ
hunger	h ʌ ŋ ɡ ɝ
attribute	æ t ɹ ə b j u t
frown	f ɹ aʊ n
charity	tʃ ɛ ɹ ɪ t i
importantly	ɪ m p ɔ ɹ t ə n t ɫ i
socially	s oʊ ʃ ə ɫ i
realization	ɹ i ɫ ə z eɪ ʃ ə n
reconstruction	ɹ i k ə n s t ɹ ʌ k ʃ ə n
barrel	b æ ɹ ə ɫ
towel	t aʊ ə ɫ
acquaintance	ə k w eɪ n t ə n s
shear	ʃ ɪ ɹ
lad	ɫ æ d
shallow	ʃ æ ɫ oʊ
rotation	ɹ oʊ t eɪ ʃ ə n
neglect	n ə ɡ ɫ ɛ k t
explosion	ɪ k s p ɫ oʊ ʒ ə n
wherever	w ɛ ɹ ɛ v ɝ
completion	k ə m p ɫ i ʃ ə n
cease	s i s
volunteer	v ɑ ɫ ə n t ɪ ɹ
terrorist	t ɛ ɹ ɝ ɪ s t
researcher	ɹ i s ɝ tʃ ɝ
consistently	k ə n s ɪ s t ə n t ɫ i
problematic	p ɹ ɑ b ɫ ə m æ t ɪ k
numerical	n u m ɛ ɹ ə k ə ɫ
upward	ʌ p w ɝ d
bit	b ɪ t
flourish	f ɫ ɝ ɪ ʃ
pad	p æ d
disappointment	d ɪ s ə p ɔɪ n t m ə n t
tag	t æ ɡ
contradiction	k ɑ n t ɹ ə d ɪ k ʃ ə n
robust	ɹ oʊ b ʌ s t
absorb	ə b z ɔ ɹ b
knot	n ɑ t
certainty	s ɝ t ə n t i
certificate	s ɝ t ɪ f ɪ k ə t
allocation	æ ɫ ə k eɪ ʃ ə n
amendment	ə m ɛ n d m ə n t
mount	m aʊ n t
mock	m ɑ k
wipe	w aɪ p
gospel	ɡ ɑ s p ə ɫ
holder	h oʊ ɫ d ɝ
crush	k ɹ ʌ ʃ
coordination	k oʊ ɔ ɹ d ə n eɪ ʃ ə n
renal	ɹ i n ə ɫ
sway	s w eɪ
stamp	s t æ m p
mainstream	m eɪ n s t ɹ i m
corpse	k ɔ ɹ p s
disturbance	d ɪ s t ɝ b ə n s
assertion	ə s ɝ ʃ ə n
bind	b aɪ n d
capability	k eɪ p ə b ɪ ɫ ə t i
intensive	ɪ n t ɛ n s ɪ v
clay	k ɫ eɪ
drum	d ɹ ʌ m
meta	m i t ə
clerk	k ɫ ɝ k
unhappy	ə n h æ p i
accent	ə k s ɛ n t
hatred	h eɪ t ɹ ə d
intake	ɪ n t eɪ k
sharply	ʃ ɑ ɹ p ɫ i
continuously	k ə n t ɪ n j u ə s ɫ i
commerce	k ɑ m ɝ s
jar	dʒ ɑ ɹ
appreciation	ə p ɹ i ʃ i eɪ ʃ ə n
meditation	m ɛ d ə t eɪ ʃ ə n
awkward	ɑ k w ɝ d
impressive	ɪ m p ɹ ɛ s ɪ v
compassion	k ə m p æ ʃ ə n
esteem	ə s t i m
witch	w ɪ tʃ
exert	ɪ ɡ z ɝ t
cliff	k ɫ ɪ f
ignorance	ɪ ɡ n ɝ ə n s
utterly	ʌ t ɝ ɫ i
convenient	k ə n v i n j ə n t
historic	h ɪ s t ɔ ɹ ɪ k
binary	b aɪ n ɝ i
cottage	k ɑ t ə dʒ
rod	ɹ ɑ d
cart	k ɑ ɹ t
correction	k ɝ ɛ k ʃ ə n
consequently	k ɑ n s ə k w ə n t ɫ i
positively	p ɑ z ə t ɪ v ɫ i
missionary	m ɪ ʃ ə n ɛ ɹ i
vitamin	v aɪ t ə m ə n
spouse	s p aʊ s
den	d ɛ n
clever	k ɫ ɛ v ɝ
feast	f i s t
occasional	ə k eɪ ʒ ə n ə ɫ
pill	p ɪ ɫ
discount	d ɪ s k aʊ n t
canal	k ə n æ ɫ
catalyst	k æ t ə ɫ ə s t
vague	v eɪ ɡ
chaos	k eɪ ɑ s
rigid	ɹ ɪ dʒ ə d
execute	ɛ k s ə k j u t
behold	b ɪ h oʊ ɫ d
accurately	æ k j ɝ ə t ɫ i
revenge	ɹ i v ɛ n dʒ
complement	k ɑ m p ɫ ə m ə n t
basically	b eɪ s ɪ k ɫ i
reproduction	ɹ i p ɹ ə d ʌ k ʃ ə n
pine	p aɪ n
accordingly	ə k ɔ ɹ d ɪ ŋ ɫ i
preliminary	p ɹ ɪ ɫ ɪ m ə n ɛ ɹ i
con	k ɑ n
mentor	m ɛ n t ɔ ɹ
bike	b aɪ k
luxury	ɫ ʌ ɡ ʒ ɝ i
prop	p ɹ ɑ p
automatic	ɔ t ə m æ t ɪ k
surgeon	s ɝ dʒ ə n
continually	k ə n t ɪ n j u ə ɫ i
characterize	k ɛ ɹ ə k t ɝ aɪ z
reasonably	ɹ i z ə n ə b ɫ i
specification	s p ɛ s ɪ f ɪ k eɪ ʃ ə n
envelope	ɛ n v ə ɫ oʊ p
hop	h ɑ p
legend	ɫ ɛ dʒ ə n d
fiscal	f ɪ s k ə ɫ
soup	s u p
shaft	ʃ æ f t
onion	ʌ n j ə n
miserable	m ɪ z ɝ ə b ə ɫ
princess	p ɹ ɪ n s ɛ s
ankle	æ ŋ k ə ɫ
persistent	p ɝ s ɪ s t ə n t
porch	p ɔ ɹ tʃ
surveillance	s ɝ v eɪ ɫ ə n s
immense	ɪ m ɛ n s
happily	h æ p ə ɫ i
placement	p ɫ eɪ s m ə n t
gradient	ɡ ɹ eɪ d i ə n t
bacterial	b æ k t ɪ ɹ i ə ɫ
thunder	θ ʌ n d ɝ
weigh	w eɪ
mouse	m aʊ s
controversy	k ɑ n t ɹ ə v ɝ s i
hunter	h ʌ n t ɝ
impairment	ɪ m p ɛ ɹ m ə n t
delicious	d ɪ ɫ ɪ ʃ ə s
monetary	m ɑ n ə t ɛ ɹ i
foolish	f u ɫ ɪ ʃ
biblical	b ɪ b ɫ ə k ə ɫ
bother	b ɑ ð ɝ
midnight	m ɪ d n aɪ t
handful	h æ n d f ʊ ɫ
mortal	m ɔ ɹ t ə ɫ
exhibition	ɛ k s ə b ɪ ʃ ə n
tomb	t u m
compete	k ə m p i t
broadly	b ɹ ɔ d ɫ i
dominate	d ɑ m ə n eɪ t
expedition	ɛ k s p ə d ɪ ʃ ə n
prey	p ɹ eɪ
lab	ɫ æ b
celebration	s ɛ ɫ ə b ɹ eɪ ʃ ə n
locate	ɫ oʊ k eɪ t
confront	k ə n f ɹ ʌ n t
super	s u p ɝ
stance	s t æ n s
cellular	s ɛ ɫ j ə ɫ ɝ
romance	ɹ oʊ m æ n s
voluntary	v ɑ ɫ ə n t ɛ ɹ i
momentum	m oʊ m ɛ n t ə m
skull	s k ʌ ɫ
silly	s ɪ ɫ i
wagon	w æ ɡ ə n
independently	ɪ n d ɪ p ɛ n d ə n t ɫ i
remark	ɹ ɪ m ɑ ɹ k
overhead	oʊ v ɝ h ɛ d
veil	v eɪ ɫ
differentiation	d ɪ f ɝ ɛ n ʃ i eɪ ʃ ə n
primitive	p ɹ ɪ m ə t ɪ v
fatal	f eɪ t ə ɫ
marble	m ɑ ɹ b ə ɫ
assign	ə s aɪ n
definite	d ɛ f ə n ə t
fur	f ɝ
testify	t ɛ s t ə f aɪ
moan	m oʊ n
participant	p ɑ ɹ t ɪ s ə p ə n t
alternate	ɔ ɫ t ɝ n ə t
covenant	k ʌ v ə n ə n t
manipulate	m ə n ɪ p j ə ɫ eɪ t
flavor	f ɫ eɪ v ɝ
cage	k eɪ dʒ
fame	f eɪ m
toxic	t ɑ k s ɪ k
retail	ɹ i t eɪ ɫ
likewise	ɫ aɪ k w aɪ z
pulmonary	p ʊ ɫ m ə n ɛ ɹ i
admire	æ d m aɪ ɹ
clinic	k ɫ ɪ n ɪ k
peripheral	p ɝ ɪ f ɝ ə ɫ
residual	ɹ ɪ z ɪ dʒ u ə ɫ
reckon	ɹ ɛ k ə n
retirement	ɹ i t aɪ ɝ m ə n t
humor	h j u m ɝ
carpet	k ɑ ɹ p ə t
recruit	ɹ ə k ɹ u t
abundance	ə b ʌ n d ə n s
fraud	f ɹ ɔ d
contend	k ə n t ɛ n d
cultivate	k ʌ ɫ t ə v eɪ t
tomato	t ə m eɪ t oʊ
severity	s ɪ v ɛ ɹ ɪ t i
continuity	k ɑ n t ə n u ə t i
tray	t ɹ eɪ
highway	h aɪ w eɪ
lobby	ɫ ɑ b i
hostile	h ɑ s t ə ɫ
elevator	ɛ ɫ ə v eɪ t ɝ
architect	ɑ ɹ k ə t ɛ k t
fond	f ɑ n d
cooperative	k oʊ ɑ p ɝ eɪ t ɪ v
sunlight	s ʌ n ɫ aɪ t
micro	m aɪ k ɹ oʊ
inference	ɪ n f ɝ ə n s
causal	k ɔ z ə ɫ
secular	s ɛ k j ə ɫ ɝ
fragment	f ɹ æ ɡ m ə n t
characterization	k ɛ ɹ ə k t ɝ ɪ z eɪ ʃ ə n
commentary	k ɑ m ə n t ɛ ɹ i
stiff	s t ɪ f
gown	ɡ aʊ n
chemistry	k ɛ m ə s t ɹ i
glare	ɡ ɫ ɛ ɹ
offense	ə f ɛ n s
norm	n ɔ ɹ m
precision	p ɹ i s ɪ ʒ ə n
gallery	ɡ æ ɫ ɝ i
supervision	s u p ɝ v ɪ ʒ ə n
wit	w ɪ t
dataset	d eɪ t ə s ɛ t
favourite	f eɪ v ɝ ɪ t
habitat	h æ b ə t æ t
queer	k w ɪ ɹ
initiate	ɪ n ɪ ʃ i eɪ t
ward	w ɔ ɹ d
criterion	k ɹ aɪ t ɪ ɹ i ə n
stain	s t eɪ n
surrounding	s ɝ aʊ n d ɪ ŋ
escort	ɛ s k ɔ ɹ t
resistant	ɹ ɪ z ɪ s t ə n t
petition	p ə t ɪ ʃ ə n
assurance	ə ʃ ʊ ɹ ə n s
countless	k aʊ n t ɫ ə s
mistress	m ɪ s t ɹ ə s
correspond	k ɔ ɹ ə s p ɑ n d
incredible	ɪ n k ɹ ɛ d ə b ə ɫ
girlfriend	ɡ ɝ ɫ f ɹ ɛ n d
calcium	k æ ɫ s i ə m
supper	s ʌ p ɝ
suppress	s ə p ɹ ɛ s
accommodation	ə k ɑ m ə d eɪ ʃ ə n
clan	k ɫ æ n
serum	s ɪ ɹ ə m
ours	aʊ ɝ z
substantially	s ə b s t æ n ʃ ə ɫ i
